ID,Peer,Task,Date
1,hsensor,C2_SimpleBashUtils,2021-11-13
2,aglendon,C2_SimpleBashUtils,2021-11-13
3,wmicha,C2_SimpleBashUtils,2021-11-14
4,hmetallo,C2_SimpleBashUtils,2021-11-14
5,alayna,C2_SimpleBashUtils,2021-11-14
6,dpaleo,C2_SimpleBashUtils,2021-11-15
7,eamiee,C2_SimpleBashUtils,2021-11-15
8,afate,C2_SimpleBashUtils,2021-11-16
9,alayna,C2_SimpleBashUtils,2021-11-16
10,dclaudet,C2_SimpleBashUtils,2021-11-17
11,ccassell,C2_SimpleBashUtils,2021-11-17
12,afate,C2_SimpleBashUtils,2021-11-20
13,eamiee,C2_SimpleBashUtils,2021-11-20
14,ccassell,C2_SimpleBashUtils,2021-11-21
15,wmicha,C3_s21_string+,2021-12-06
16,hsensor,C3_s21_string+,2021-12-06
17,hmetallo,C3_s21_string+,2021-12-08
18,dpaleo,C3_s21_string+,2021-12-08
19,afate,C3_s21_string+,2021-12-09
20,aglendon,C3_s21_string+,2021-12-09
21,eamiee,C3_s21_string+,2021-12-09
22,dclaudet,C3_s21_string+,2021-12-10
23,alayna,C3_s21_string+,2021-12-10
24,aglendon,C3_s21_string+,2021-12-11
25,dclaudet,C3_s21_string+,2021-12-11
26,ccassell,C3_s21_string+,2021-12-11
27,wmicha,C4_s21_math,2021-12-22
28,hsensor,C4_s21_math,2021-12-22
29,hmetallo,C4_s21_math,2021-12-23
30,dpaleo,C4_s21_math,2021-12-23
31,wmicha,C4_s21_math,2021-12-24
32,wmicha,C4_s21_math,2021-12-24
33,dpaleo,C4_s21_math,2021-12-25
